relative_path,status,expected_sha256,actual_sha256,expected_bytes,actual_bytes
INT8-INT4/flood/src/main/scala/Machine/OutRouter.scala,pass,f5ba6dc69c23c3a5352a1cb405421464677d59d72f1004fc9ebc60f68130bd7a,f5ba6dc69c23c3a5352a1cb405421464677d59d72f1004fc9ebc60f68130bd7a,11606,11606
INT8-INT4/flood/src/main/scala/Machine/OutRouterPlane.scala,pass,362defd39d06b5ab508e825ed0fa9a2902a4e794473e014826efa2c427228e28,362defd39d06b5ab508e825ed0fa9a2902a4e794473e014826efa2c427228e28,22487,22487
INT8-INT4/flood/src/main/scala/Machine/OutRouterPlanePost.scala,pass,6139e3712f644486b07131b45807501d39682d8641ada134ccfda1438f7d162c,6139e3712f644486b07131b45807501d39682d8641ada134ccfda1438f7d162c,49204,49204
INT8-INT4/flood/src/main/scala/core/CIMcore.scala,pass,2389f30d74997f98d006b79948ba1497a82f10f1dfc25358d13dda5d97855ba5,2389f30d74997f98d006b79948ba1497a82f10f1dfc25358d13dda5d97855ba5,50623,50623
INT8-INT4/flood/src/main/scala/core/Config.scala,pass,d30f52789685a865c8d11c31f9d3182e72a3467227de3880be0445ffbfc20215,d30f52789685a865c8d11c31f9d3182e72a3467227de3880be0445ffbfc20215,10125,10125
INT8-INT4/flood/src/main/scala/core/Tile.scala,pass,e5a05d9b4f68f05d39cd524b8f82d8d475f61a1275e7d08573484158717a608f,e5a05d9b4f68f05d39cd524b8f82d8d475f61a1275e7d08573484158717a608f,29899,29899
INT8-INT4/flood/src/main/scala/core/postConfig.scala,pass,68a276208016d41d7a08b0b624d2066889c2126db1cbf4fb50c5af908bbdb3ac,68a276208016d41d7a08b0b624d2066889c2126db1cbf4fb50c5af908bbdb3ac,14759,14759
INT8-INT4/flood/src/python/actual_joint_results.csv,pass,9988d78283691b08090276f193ca3ae76cd90b69e4220a1cb6b6683fb426cd9e,9988d78283691b08090276f193ca3ae76cd90b69e4220a1cb6b6683fb426cd9e,26,26
INT8-INT4/flood/src/python/actual_output_results.csv,pass,946d3e3728e31706483079bbf79ac5424eeed0926ed1c84ef1994fc5fb7938ea,946d3e3728e31706483079bbf79ac5424eeed0926ed1c84ef1994fc5fb7938ea,438,438
INT8-INT4/flood/src/python/actual_output_results_r0_c0.csv,pass,6e38f9edb18ec88e44a09025f10b8250a6b029ea58d1546440bc2213db490248,6e38f9edb18ec88e44a09025f10b8250a6b029ea58d1546440bc2213db490248,100,100
INT8-INT4/flood/src/python/actual_output_results_r0_c1.csv,pass,87558324efa1da8b4cdb0e6a95d72ffd51bf78d60e52c71f8837506246f28b0c,87558324efa1da8b4cdb0e6a95d72ffd51bf78d60e52c71f8837506246f28b0c,155,155
INT8-INT4/flood/src/python/actual_output_results_r1_c0.csv,pass,d8d1235b44407aebada81ad58a2e2b98e9eba406612b4013240dcff63d09e724,d8d1235b44407aebada81ad58a2e2b98e9eba406612b4013240dcff63d09e724,159,159
INT8-INT4/flood/src/python/actual_output_results_r1_c1.csv,pass,c34ca021f6aa7517a14b4696ac8e8abc8f5ca3c32158bbb5359bbdc584310400,c34ca021f6aa7517a14b4696ac8e8abc8f5ca3c32158bbb5359bbdc584310400,159,159
INT8-INT4/flood/src/python/actual_results.csv,pass,4192ebe73aa055022da21ae6f12c077aa5a7d3555dc45bc278c7e38e928dd9f7,4192ebe73aa055022da21ae6f12c077aa5a7d3555dc45bc278c7e38e928dd9f7,729,729
INT8-INT4/flood/src/python/conv3d_full.py,pass,d450ef52e995b760771899d42b2d8511d102d3a64a77d6a08c437b51a6d3b1e0,d450ef52e995b760771899d42b2d8511d102d3a64a77d6a08c437b51a6d3b1e0,20374,20374
INT8-INT4/flood/src/python/conv3d_hardware_maxpool.py,pass,0df4347589e467ee0c52d3bc4a1a284ac082acee9ab7dd1bfa5ab2b13123b584,0df4347589e467ee0c52d3bc4a1a284ac082acee9ab7dd1bfa5ab2b13123b584,10339,10339
INT8-INT4/flood/src/python/debug_maxpool.py,pass,6f4ec2f4abfc66658a3e082ef362f4453aea2f84f4a42b1cf62ad6bb6be0e3ae,6f4ec2f4abfc66658a3e082ef362f4453aea2f84f4a42b1cf62ad6bb6be0e3ae,2858,2858
INT8-INT4/flood/src/python/expected_results.csv,pass,aa4d2b09cb27254f3cbadc7f34f5a7fcaba24270b4206fa784343e6a77242754,aa4d2b09cb27254f3cbadc7f34f5a7fcaba24270b4206fa784343e6a77242754,14359,14359
INT8-INT4/flood/src/python/features.csv,pass,9253f407c6ab24e1e306836547a0d8a39548ec6364c79511f6ca2c7d037ee8f5,9253f407c6ab24e1e306836547a0d8a39548ec6364c79511f6ca2c7d037ee8f5,302994,302994
