mechanism,file_status,category,relative_path,source_path,base_path,bytes,keyword_hits,sim_hook,paper_use_policy
mactree,modified,rtl,rtl/e203/core/e203_ifu_ifetch.v,mactree\flood\rtl\e203\core\e203_ifu_ifetch.v,FLOOD\rtl\e203\core\e203_ifu_ifetch.v,22753,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_ifu_ift2icb.v,mactree\flood\rtl\e203\core\e203_ifu_ift2icb.v,FLOOD\rtl\e203\core\e203_ifu_ift2icb.v,39613,zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_ifu_litebpu.v,mactree\flood\rtl\e203\core\e203_ifu_litebpu.v,FLOOD\rtl\e203\core\e203_ifu_litebpu.v,5563,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_ifu_minidec.v,mactree\flood\rtl\e203\core\e203_ifu_minidec.v,FLOOD\rtl\e203\core\e203_ifu_minidec.v,3241,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_irq_sync.v,mactree\flood\rtl\e203\core\e203_irq_sync.v,FLOOD\rtl\e203\core\e203_irq_sync.v,3381,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_itcm_ctrl.v,mactree\flood\rtl\e203\core\e203_itcm_ctrl.v,FLOOD\rtl\e203\core\e203_itcm_ctrl.v,22490,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_itcm_ram.v,mactree\flood\rtl\e203\core\e203_itcm_ram.v,FLOOD\rtl\e203\core\e203_itcm_ram.v,4665,zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_lsu.v,mactree\flood\rtl\e203\core\e203_lsu.v,FLOOD\rtl\e203\core\e203_lsu.v,14483,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_lsu_ctrl.v,mactree\flood\rtl\e203\core\e203_lsu_ctrl.v,FLOOD\rtl\e203\core\e203_lsu_ctrl.v,37883,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_reset_ctrl.v,mactree\flood\rtl\e203\core\e203_reset_ctrl.v,FLOOD\rtl\e203\core\e203_reset_ctrl.v,3169,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_srams.v,mactree\flood\rtl\e203\core\e203_srams.v,FLOOD\rtl\e203\core\e203_srams.v,3953,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/debug/sirv_debug_csr.v,mactree\flood\rtl\e203\debug\sirv_debug_csr.v,FLOOD\rtl\e203\debug\sirv_debug_csr.v,5601,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/debug/sirv_debug_module.v,mactree\flood\rtl\e203\debug\sirv_debug_module.v,FLOOD\rtl\e203\debug\sirv_debug_module.v,19103,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/debug/sirv_debug_ram.v,mactree\flood\rtl\e203\debug\sirv_debug_ram.v,FLOOD\rtl\e203\debug\sirv_debug_ram.v,2145,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/debug/sirv_debug_rom.v,mactree\flood\rtl\e203\debug\sirv_debug_rom.v,FLOOD\rtl\e203\debug\sirv_debug_rom.v,8309,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/debug/sirv_jtag_dtm.v,mactree\flood\rtl\e203\debug\sirv_jtag_dtm.v,FLOOD\rtl\e203\debug\sirv_jtag_dtm.v,16213,skip;zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/fab/sirv_icb1to16_bus.v,mactree\flood\rtl\e203\fab\sirv_icb1to16_bus.v,FLOOD\rtl\e203\fab\sirv_icb1to16_bus.v,44609,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
