result_dir,table,workload_id,interval_rows,timeline_start,timeline_end,summary_total_key,summary_total,status,issues
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_020_op_00030,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_021_op_00031,120,0,6375,total_cycles,6375,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_022_op_00032,120,0,6375,total_cycles,6375,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_023_op_00033,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_024_op_00034,32,0,2010,total_cycles,2010,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_025_op_00035,128,0,6832,total_cycles,6832,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_026_op_00038,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_027_op_00041,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_028_op_00045,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_029_op_00050,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_030_op_00054,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_031_op_00055,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_032_op_00056,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_033_op_00057,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_034_op_00058,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_035_op_00059,120,0,6375,total_cycles,6375,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_036_op_00060,120,0,6375,total_cycles,6375,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_037_op_00061,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_038_op_00062,128,0,7242,total_cycles,7242,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_039_op_00063,512,0,27328,total_cycles,27328,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_040_op_00066,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_001_op_00002,5,0,59151,system_total_cycles,59151,pass,
